Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0015012,0.018116,-0.028712,0,0,0,0.43274,0.0011133,0.00010395,-3.7392E-05,0.00082759,0.00024239,0.00059614,0,0,0,0,0,0,package://410-00207_RS/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://410-00207_RS/meshes/base_link.STL,,410-00213-1;410-00886-1;410-00190-1;410-00216-1;410-00217-1;410-00853-1;410-00890-1;410-01454-1;410-01452-1;410-00089-1;410-00998-1;410-00889-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0089428,0.096845,0.0033173,0,0,0,0.39498,0.00037392,8.2292E-06,-1.7511E-05,0.00010627,6.9982E-06,0.00038766,0,0,0,0,0,0,package://410-00207_RS/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://410-00207_RS/meshes/link1.STL,,410-00222-1;410-00533-1,Origin_joint1,,joint1,prismatic,0.003,0.028279,0.02625,0,-1.5708,0,base_link,0,0,0,0,0,0,0,,,,,,,,
